name	rva	va	section	size_bytes	is_function	likely_thunk
bambu_network_add_subscribe	0x1b5f20	0x1801b5f20	.text	1	yes	yes
Ordinal_1	0x1b5f20	0x1801b5f20	.text	1	yes	yes
bambu_network_bind	0x1b5f70	0x1801b5f70	.text	1	yes	yes
Ordinal_2	0x1b5f70	0x1801b5f70	.text	1	yes	yes
bambu_network_bind_detect	0x1b6430	0x1801b6430	.text	1	yes	yes
Ordinal_3	0x1b6430	0x1801b6430	.text	1	yes	yes
bambu_network_build_login_cmd	0x1b6620	0x1801b6620	.text	1	yes	yes
Ordinal_4	0x1b6620	0x1801b6620	.text	1	yes	yes
bambu_network_build_login_info	0x1b6660	0x1801b6660	.text	1	yes	yes
Ordinal_5	0x1b6660	0x1801b6660	.text	1	yes	yes
bambu_network_build_logout_cmd	0x1b66a0	0x1801b66a0	.text	1	yes	yes
Ordinal_6	0x1b66a0	0x1801b66a0	.text	1	yes	yes
bambu_network_change_user	0x1b66e0	0x1801b66e0	.text	1	yes	yes
Ordinal_7	0x1b66e0	0x1801b66e0	.text	1	yes	yes
bambu_network_check_debug_consistent	0x1b6730	0x1801b6730	.text	0	no	no
Ordinal_8	0x1b6730	0x1801b6730	.text	0	no	no
bambu_network_check_user_report	0x1b6740	0x1801b6740	.text	1	yes	yes
Ordinal_9	0x1b6740	0x1801b6740	.text	1	yes	yes
bambu_network_check_user_task_report	0x1b6770	0x1801b6770	.text	1	yes	yes
Ordinal_10	0x1b6770	0x1801b6770	.text	1	yes	yes
bambu_network_connect_printer	0x1b67a0	0x1801b67a0	.text	1	yes	yes
Ordinal_11	0x1b67a0	0x1801b67a0	.text	1	yes	yes
bambu_network_connect_server	0x1b6be0	0x1801b6be0	.text	1	yes	yes
Ordinal_12	0x1b6be0	0x1801b6be0	.text	1	yes	yes
bambu_network_create_agent	0x1b6d00	0x1801b6d00	.text	1	yes	yes
Ordinal_13	0x1b6d00	0x1801b6d00	.text	1	yes	yes
bambu_network_del_rating_picture_oss	0x1b8090	0x1801b8090	.text	1	yes	yes
