# All functions Ghidra discovered.
# entry                section     size    name
0x0000000180001000  .text            1  FUN_180001000
0x0000000180007bc0  .text            1  FUN_180007bc0
0x0000000180007be0  .text            1  FUN_180007be0
0x0000000180007c10  .text            1  FUN_180007c10
0x0000000180007c50  .text            1  FUN_180007c50
0x0000000180007ee0  .text            1  FUN_180007ee0
0x0000000180007f70  .text            1  FUN_180007f70
0x00000001800081f0  .text            1  FUN_1800081f0
0x0000000180008250  .text            1  FUN_180008250
0x0000000180008280  .text            1  FUN_180008280
0x00000001800082c0  .text            1  FUN_1800082c0
0x000000018000ee80  .text            1  FUN_18000ee80
0x0000000180015a20  .text            1  FUN_180015a20
0x0000000180015a60  .text            1  FUN_180015a60
0x0000000180015a90  .text            1  FUN_180015a90
0x0000000180015ab0  .text            1  FUN_180015ab0
0x0000000180015ad0  .text            1  FUN_180015ad0
0x000000018001c670  .text            1  FUN_18001c670
0x000000018001c690  .text            1  FUN_18001c690
0x000000018001c6b0  .text            1  FUN_18001c6b0
0x0000000180023250  .text            1  FUN_180023250
0x0000000180023290  .text            1  FUN_180023290
0x00000001800232b0  .text            1  FUN_1800232b0
0x0000000180023350  .text            1  FUN_180023350
0x0000000180023370  .text            1  FUN_180023370
0x00000001800233e0  .text            1  FUN_1800233e0
0x0000000180023460  .text            1  FUN_180023460
0x00000001800234d0  .text            1  FUN_1800234d0
0x000000018002a070  .text            1  FUN_18002a070
0x000000018002a0f0  .text            1  FUN_18002a0f0
0x000000018002a110  .text            1  FUN_18002a110
0x000000018002a190  .text            1  FUN_18002a190
0x000000018002a1b0  .text            1  FUN_18002a1b0
0x000000018002a220  .text            1  FUN_18002a220
0x000000018002a2a0  .text            1  FUN_18002a2a0
0x000000018002a310  .text            1  FUN_18002a310
0x0000000180030eb0  .text            1  FUN_180030eb0
0x0000000180030ed0  .text            1  FUN_180030ed0
0x0000000180030f50  .text            1  FUN_180030f50
0x0000000180030f70  .text            1  FUN_180030f70
0x0000000180030ff0  .text            1  FUN_180030ff0
0x0000000180031010  .text            1  FUN_180031010
0x0000000180031080  .text            1  FUN_180031080
0x0000000180031100  .text            1  FUN_180031100
0x0000000180031190  .text            1  FUN_180031190
0x0000000180037d30  .text            1  FUN_180037d30
0x0000000180037db0  .text            1  FUN_180037db0
0x0000000180037df0  .text            1  FUN_180037df0
0x0000000180037e10  .text            1  FUN_180037e10
0x0000000180037e30  .text            1  FUN_180037e30
0x0000000180037ef0  .text            1  FUN_180037ef0
0x0000000180037f10  .text            1  FUN_180037f10
0x0000000180037f80  .text            1  FUN_180037f80
0x0000000180038000  .text            1  FUN_180038000
0x0000000180038050  .text            1  FUN_180038050
0x00000001800380b0  .text            1  FUN_1800380b0
0x0000000180038100  .text            1  FUN_180038100
0x0000000180038170  .text            1  FUN_180038170
0x000000018003ed10  .text            1  FUN_18003ed10
0x000000018003ed90  .text            1  FUN_18003ed90
0x0000000180045930  .text            1  FUN_180045930
0x0000000180045950  .text            1  FUN_180045950
0x0000000180045970  .text            1  FUN_180045970
0x0000000180045990  .text            1  FUN_180045990
0x0000000180045a10  .text            1  FUN_180045a10
0x0000000180045a80  .text            1  FUN_180045a80
0x000000018004c620  .text            1  FUN_18004c620
0x000000018004c640  .text            1  FUN_18004c640
0x000000018004c6c0  .text            1  FUN_18004c6c0
0x000000018004c710  .text            1  FUN_18004c710
0x000000018004c790  .text            1  FUN_18004c790
