name	rva	va	size	callees	jumptable_warn	suspicious	why
bambu_network_add_subscribe	0x1b5f20	0x1801b5f20	78	3	no	no	
bambu_network_bind	0x1b5f70	0x1801b5f70	1213	7	no	no	
bambu_network_bind_detect	0x1b6430	0x1801b6430	481	7	no	no	
bambu_network_build_login_cmd	0x1b6620	0x1801b6620	64	1	no	no	
bambu_network_build_login_info	0x1b6660	0x1801b6660	64	1	no	no	
bambu_network_build_logout_cmd	0x1b66a0	0x1801b66a0	64	1	no	no	
bambu_network_change_user	0x1b66e0	0x1801b66e0	78	3	no	no	
bambu_network_check_debug_consistent	0x1b6730	0x1801b6730	7	0	no	yes	tiny;
bambu_network_check_user_report	0x1b6740	0x1801b6740	41	1	no	no	
bambu_network_check_user_task_report	0x1b6770	0x1801b6770	41	1	no	no	
bambu_network_connect_printer	0x1b67a0	0x1801b67a0	1087	7	no	no	
bambu_network_connect_server	0x1b6be0	0x1801b6be0	280	5	no	no	
bambu_network_create_agent	0x1b6d00	0x1801b6d00	5	0	no	yes	tiny;
bambu_network_del_rating_picture_oss	0x1b8090	0x1801b8090	270	6	no	no	
bambu_network_del_subscribe	0x1b81a0	0x1801b81a0	78	3	no	no	
bambu_network_delete_setting	0x1b81f0	0x1801b81f0	417	7	no	no	
bambu_network_destroy_agent	0x1b83a0	0x1801b83a0	74	2	no	no	
bambu_network_disconnect_printer	0x1b83f0	0x1801b83f0	285	5	no	no	
bambu_network_enable_multi_machine	0x1b8510	0x1801b8510	21	1	no	no	
bambu_network_get_bambulab_host	0x1b8530	0x1801b8530	64	1	no	no	
bambu_network_get_camera_url	0x1b8570	0x1801b8570	209	3	no	no	
bambu_network_get_camera_url_for_golive	0x1b8650	0x1801b8650	255	3	no	no	
bambu_network_get_design_staffpick	0x1b8750	0x1801b8750	192	1	no	no	
bambu_network_get_hms_snapshot	0x1b8810	0x1801b8810	194	1	no	no	
bambu_network_get_model_instance_id	0x1b88e0	0x1801b88e0	269	5	no	no	
