function_va	n_keys	keys
0x1800f1390	10	bind_state,connect_type,connection_name,dev_id,dev_ip,dev_name,dev_signal,dev_type,dev_version,sec_link
0x180105550	4	info,name,plate_idx,printer
0x180129850	2	identifier,user
0x18012a6f0	1	message
0x18012ade0	3	iv,secret,tag
0x18012b280	6	designId,designTitle,instanceId,modelId,profileId,title
0x18012c4e0	7	message,model_id,name,profile_id,project_id,upload_ticket,upload_url
0x18012fe40	1	id
0x180130230	1	instanceId
0x180130b10	3	message,url,urls
0x180131b40	4	accessToken,expiresIn,refreshExpiresIn,refreshToken
0x1801320f0	2	dev_id,dev_ip
0x180134a90	1	isValid
0x180134ca0	1	url
0x180136ad0	1	ticket
0x180137940	1	id
0x180137b20	6	context,index,message,plates,profile_id,profiles
0x18013a2a0	4	content,info,message,plate_idx
0x18013df70	1	message
0x180140cb0	3	message,url,urls
0x180141250	1	message
0x180141500	1	message
0x180142920	2	job_id,message
0x180142e60	5	filename,md5,message,name,url
0x180143d40	4	message,model_id,name,project_id
0x1801447c0	4	message,profile_id,upload_ticket,upload_url
0x180144e20	3	print_flag,report_url,task_id
0x180149d80	1	message
0x18014a260	1	message
0x18014aba0	1	message
0x180150800	1	report_url
0x18015a880	4	command,login,reason,status
0x18015c620	5	avatar,command,data,name,sequence_id
0x18015c970	12	apix,base_domain,command,e-improved,emqx,environment,iot,login,sequence_id,timezone,tutk,wifi
0x18015d060	2	command,sequence_id
0x18015d220	3	command,data,sequence_id
0x180160020	6	id,md5,plate_idx,profile_id,profile_print_3mf,url
0x180168080	1	section
0x180177140	1	isModelSave
0x1801772e0	2	content,name
0x1801774d0	3	content,model_id,name
0x1801776a0	6	base_id,name,public,setting,type,version
0x180177ee0	33	amsDetailMapping,amsId,amsMapping,amsMapping2,ams_id,autoBedLeveling,bedLeveling,bedType,cfg,cover,designId,deviceId,extrudeCaliFlag,extrudeCaliManualMode,filamentSettingIds,flowCali,layerInspect,mode,modelId,nozzleInfos,nozzleMapping,nozzleOffsetCali,oriModelId,oriProfileId,plateIndex,profileId,sequence_id,slotId,slot_id,timelapse,title,useAms,vibrationCali
0x180178f90	4	base_id,name,setting,version
0x1801796f0	6	base_model,profile_config,profile_files,profile_gcode,profile_pattern,profile_thumbnail
0x180179ad0	5	base_model,profile_config,profile_files,profile_gcode,profile_thumbnail
0x18017a8f0	12	account,autotest_token,avatar,expires_in,identifier,login_status,name,refresh_expires_in,refresh_token,token,user,user_id
0x18017c710	2	dev_id,dev_name
0x18017cdf0	3	error_msg,result,user_id
0x18017efa0	1	ticket
0x18017f730	1	ticket
0x18017fd00	4	command,err_code,print,sequence_id
0x180180ff0	3	content,images,score
0x1801818c0	3	origin_file_name,ticket,upload
0x180181f60	7	accessKeyId,accessKeySecret,bucketName,cdnUrl,endpoint,expiration,securityToken
0x180186090	1	refreshtoken
0x180187430	1	refreshToken
0x180187ff0	3	dev_id,force,last_monitor_machine
0x180189070	11	account,autotest_token,avatar,expires_in,login_status,name,refresh_expires_in,refresh_token,token,user,user_id
0x18018a4f0	11	account,autotest_token,avatar,data,expires_in,name,refresh_expires_in,refresh_token,token,uid,user
0x18018b0f0	1	last_monitor_machine
0x18018c180	1	last_monitor_machine
0x18018c4d0	15	command,dev_id,dev_ip,err_code,error,error_msg,login,reason,recv_err,result,sec_link,ssdp_version,stage,status,ticket
0x18018f820	9	bind,command,connect,id,login,model,name,sequence_id,version
0x180190e40	2	data,sequence_id
