function_va	key	inferred_type
0x1800f1390	bind_state	string
0x1800f1390	connect_type	string
0x1800f1390	connection_name	string
0x1800f1390	dev_id	string
0x1800f1390	dev_ip	string
0x1800f1390	dev_name	string
0x1800f1390	dev_signal	string
0x1800f1390	dev_type	string
0x1800f1390	dev_version	string
0x1800f1390	sec_link	string
0x180105550	info	null
0x180105550	name	null
0x180105550	plate_idx	null
0x180105550	printer	null
0x180129850	identifier	?|int
0x180129850	user	int
0x18012a6f0	message	?
0x18012ade0	iv	?
0x18012ade0	secret	?
0x18012ade0	tag	?
0x18012b280	designId	?
0x18012b280	designTitle	?
0x18012b280	instanceId	?
0x18012b280	modelId	?
0x18012b280	profileId	?
0x18012b280	title	?
0x18012c4e0	message	?
0x18012c4e0	model_id	?
0x18012c4e0	name	?
0x18012c4e0	profile_id	?
0x18012c4e0	project_id	?
0x18012c4e0	upload_ticket	?
0x18012c4e0	upload_url	?
0x18012fe40	id	?
0x180130230	instanceId	?
0x180130b10	message	?
0x180130b10	url	?
0x180130b10	urls	?
0x180131b40	accessToken	null
0x180131b40	expiresIn	null
0x180131b40	refreshExpiresIn	null
0x180131b40	refreshToken	null
0x1801320f0	dev_id	?
0x1801320f0	dev_ip	?
0x180134a90	isValid	?
0x180134ca0	url	?
0x180136ad0	ticket	?
0x180137940	id	?
0x180137b20	context	?
0x180137b20	index	?
0x180137b20	message	?
0x180137b20	plates	?
0x180137b20	profile_id	?
0x180137b20	profiles	?
0x18013a2a0	content	?
0x18013a2a0	info	?
0x18013a2a0	message	?
0x18013a2a0	plate_idx	?
0x18013df70	message	?
0x180140cb0	message	?
0x180140cb0	url	?
0x180140cb0	urls	?
0x180141250	message	?
0x180141500	message	?
0x180142920	job_id	?
0x180142920	message	?
0x180142e60	filename	?
0x180142e60	md5	?
0x180142e60	message	?
0x180142e60	name	?
0x180142e60	url	?
0x180143d40	message	?
0x180143d40	model_id	?
0x180143d40	name	?
0x180143d40	project_id	?
0x1801447c0	message	?
0x1801447c0	profile_id	?
0x1801447c0	upload_ticket	?
0x1801447c0	upload_url	?
0x180144e20	print_flag	?
0x180144e20	report_url	?
0x180144e20	task_id	?
0x180149d80	message	?
0x18014a260	message	?
0x18014aba0	message	?
0x180150800	report_url	?
0x18015a880	command	?
0x18015a880	login	?
0x18015a880	reason	?
0x18015a880	status	?
0x18015c620	avatar	string
0x18015c620	command	string
0x18015c620	data	string
0x18015c620	name	string
0x18015c620	sequence_id	string
0x18015c970	apix	string
0x18015c970	base_domain	string
0x18015c970	command	string
0x18015c970	e-improved	boolean
0x18015c970	emqx	string
0x18015c970	environment	string
0x18015c970	iot	string
0x18015c970	login	null|string|string|string|string|string|string|string|string|boolean|boolean
0x18015c970	sequence_id	null
0x18015c970	timezone	boolean
0x18015c970	tutk	string
0x18015c970	wifi	string
0x18015d060	command	string
0x18015d060	sequence_id	string
0x18015d220	command	string
0x18015d220	data	string
0x18015d220	sequence_id	string
0x180160020	id	null
0x180160020	md5	null
0x180160020	plate_idx	null
0x180160020	profile_id	null
0x180160020	profile_print_3mf	null
0x180160020	url	null
0x180168080	section	?
0x180177140	isModelSave	?
0x1801772e0	content	string
0x1801772e0	name	string
0x1801774d0	content	string
0x1801774d0	model_id	string
0x1801774d0	name	string
0x1801776a0	base_id	string
0x1801776a0	name	string
0x1801776a0	public	boolean
0x1801776a0	setting	string
0x1801776a0	type	string
0x1801776a0	version	string
0x180177ee0	amsDetailMapping	string
0x180177ee0	amsId	string
0x180177ee0	amsMapping	string
0x180177ee0	amsMapping2	string
0x180177ee0	ams_id	string
0x180177ee0	autoBedLeveling	string
0x180177ee0	bedLeveling	string
0x180177ee0	bedType	string
0x180177ee0	cfg	string
0x180177ee0	cover	string
0x180177ee0	designId	string
0x180177ee0	deviceId	string
0x180177ee0	extrudeCaliFlag	string
0x180177ee0	extrudeCaliManualMode	string
0x180177ee0	filamentSettingIds	string
